CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
14872,3,BIO 315-03,Ecology and Evolution Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 117,.WI,16,24,8,M
14873,3,BIO 315-04,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 117,.WI,1,24,23,M
14874,3,BIO 315-05,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 117,.WI,6,24,18,M
14876,3,BIO 315-06,Ecology and Evolution Lab,2,LAB,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 117,.WI,3,24,21,M
14877,3,BIO 315-07,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 117,.WI,16,24,8,M
14878,3,BIO 315-08,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 117,.WI,-1,24,25,M
14879,3,BIO 330-01,Evolution,3,LEC,David L. Remington,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 225,,119,250,131,M
11465,3,BIO 355-01,Cell Biology,3,LEC,Mark D. Hens,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,EBER 250,,26,185,159,M
14884,3,BIO 375-01,Cell Biology and Genetics Lab,2,LAB,Karen S. Katula,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 363,.WI,8,20,12,M
14887,3,BIO 375-02,Cell Biology and Genetics Lab,2,LAB,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 365,.WI,10,20,10,M
14888,3,BIO 375-03,Cell Biology and Genetics Lab,2,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 363,.WI,1,20,19,M
14889,3,BIO 375-04,Cell Biology and Genetics Lab,2,LAB,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 365,.WI,8,20,12,M
14890,3,BIO 375-05,Cell Biology and Genetics Lab,2,LAB,Mark D. Hens,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 363,.WI,1,20,19,M
14891,3,BIO 375-06,Cell Biology and Genetics Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 365,.WI,8,20,12,M
14892,3,BIO 375-07,Cell Biology and Genetics Lab,2,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 363,.WI,2,20,18,M
14893,3,BIO 375-08,Cell Biology and Genetics Lab,2,LAB,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 365,.WI,11,20,9,M
11468,3,BIO 392-01,Genetics,3,LEC,Joshua P. Vandenbrink,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SULV 101,,96,250,154,M
11471,"3,25,32",BIO 420-01,Marine Biology,3,LEC,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 201,.ENV,4,56,52,M
14178,3,BIO 438-01,Animal Behavior,3,LEC,Olav Rueppell,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 150,.ENV,0,34,34,M
14894,3,BIO 464-01,Developmental Biology,4,LEL,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 007,,7,24,17,M
14894,,,,,,,,W,1230-1520,SULV 139,,,,,
14895,3,BIO 472-01,Histology,4,LEL,Esther M. Leise,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 218,,0,20,20,M
14895,,,,,,,,T,1300-1650,SULV 125,,,,,
13432,3,BIO 488-01,Essentials of Toxicology,3,LEC,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,M W,1200-1315,SULV 233,,-5,35,40,M
11485,"1,8,14,37,159",BIO 493-01,Honors Work,3,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,.HSS,9,10,1,M
15856,"1,8,14,37,159",BIO 493-03,Honors Work,3,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,.HSS,10,10,0,M
11486,3,BIO 494-01,Intro to Biotechnology,4,LEL,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 103,,0,24,24,M
11486,,,,,,Emily K. Lehman,,R,1400-1650,SULV 125,,,,,
11487,"1,3,14,159,374",BIO 497-01,Internship in Biology,1,PRC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1300-1350,SULV 103,,6,24,18,M
11488,"1,3,14,159,374",BIO 497-02,Internship in Biology,1,PRC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1400-1450,SULV 301,,14,24,10,M
11489,"1,3,159,374",BIO 499-01,Undergraduate Research,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
16440,"1,3,159,374",BIO 499-02,Undergraduate Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
11493,"1,3,159,374",BIO 499-03,Undergraduate Research,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,,4,10,6,M
11494,"1,3,159,374",BIO 499-04,Undergraduate Research,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
11495,"1,3,159,374",BIO 499-05,Undergraduate Research,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
11496,"1,3,159,374",BIO 499-06,Undergraduate Research,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,,5,10,5,M
11497,"1,3,159,374",BIO 499-07,Undergraduate Research,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
11498,"1,3,159,374",BIO 499-08,Undergraduate Research,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,,6,10,4,M
11499,"1,3,159,374",BIO 499-09,Undergraduate Research,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
11490,"1,3,159,374",BIO 499-10,Undergraduate Research,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,,6,10,4,M
11500,"1,3,159,374",BIO 499-12,Undergraduate Research,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
